"","s","S","Coh","Angle","R","RT"
"1","1","s1","cohE","angleE","r1",1.61945505398735
"2","1","s1","cohE","angleE","r1",1.25013234407849
"3","1","s1","cohE","angleE","r1",1.68351519638427
"4","1","s1","cohE","angleE","r1",1.28153298270643
"5","1","s1","cohE","angleE","r1",1.82914442358486
"6","1","s1","cohE","angleE","r1",1.39667412987769
"7","1","s1","cohE","angleE","r1",1.52841839549212
"8","1","s1","cohE","angleE","r1",1.47594492985853
"9","1","s1","cohE","angleE","r1",1.2294255637667
"10","1","s1","cohE","angleE","r1",1.78351482464303
"11","1","s1","cohE","angleE","r1",1.5546217509166
"12","1","s1","cohE","angleE","r1",1.64096268718751
"13","1","s1","cohE","angleE","r1",1.16158637281901
"14","1","s1","cohE","angleE","r1",1.36038506471041
"15","1","s1","cohE","angleE","r1",1.47477214529661
"16","1","s1","cohE","angleE","r1",1.29229657487122
"17","1","s1","cohE","angleE","r1",1.47011872367392
"18","1","s1","cohE","angleE","r1",1.39316301139662
"19","1","s1","cohE","angleE","r1",1.88232996457977
"20","1","s1","cohE","angleE","r1",1.34904833084068
"21","1","s1","cohE","angleE","r1",1.35613351452746
"22","1","s1","cohE","angleE","r1",1.03292815855612
"23","1","s1","cohE","angleE","r1",1.44681092807882
"24","1","s1","cohE","angleE","r1",1.50484692373787
"25","1","s1","cohE","angleE","r1",1.15696207232071
"26","1","s1","cohE","angleE","r1",1.22767340603313
"27","1","s1","cohE","angleE","r1",1.24654609837006
"28","1","s1","cohE","angleE","r1",1.31586681300233
"29","1","s1","cohE","angleE","r1",2.12078970759276
"30","1","s1","cohE","angleE","r1",1.55118216407049
"31","1","s1","cohE","angleE","r1",1.37444787209208
"32","1","s1","cohE","angleE","r1",1.95790273945604
"33","1","s1","cohE","angleE","r1",1.11938470162519
"34","1","s1","cohE","angleE","r1",1.24252975889157
"35","1","s1","cohE","angleE","r1",1.55936692839082
"36","1","s1","cohE","angleE","r1",1.33696657462606
"37","1","s1","cohE","angleE","r1",1.42896571053805
"38","1","s1","cohE","angleE","r1",1.27989188887147
"39","1","s1","cohE","angleE","r1",1.37188941636872
"40","1","s1","cohE","angleE","r1",1.22760634807964
"41","1","s1","cohE","angleE","r1",2.41445521387749
"42","1","s1","cohE","angleE","r1",1.24261210984821
"43","1","s1","cohE","angleE","r1",1.42517128123709
"44","1","s1","cohE","angleE","r1",1.48968818848118
"45","1","s1","cohE","angleE","r1",1.25981454148234
"46","1","s1","cohE","angleE","r1",1.64403827867124
"47","1","s1","cohE","angleE","r1",1.22752853168157
"48","1","s1","cohE","angleE","r1",1.26701920015288
"49","1","s1","cohE","angleE","r1",1.14140677647147
"50","1","s1","cohE","angleE","r1",1.14116280190396
"51","1","s1","cohE","angleE","r1",1.6441100556444
"52","1","s1","cohE","angleE","r1",1.4606736851674
"53","1","s1","cohE","angleE","r2",1.81231270011917
"54","1","s1","cohE","angleE","r1",1.53450234320997
"55","1","s1","cohE","angleE","r1",1.6966690661758
"56","1","s1","cohE","angleE","r1",1.38204794330429
"57","1","s1","cohE","angleE","r1",1.2253515826256
"58","1","s1","cohE","angleE","r1",1.43331409038283
"59","1","s1","cohE","angleE","r1",1.4272916031052
"60","1","s1","cohE","angleE","r1",1.49038183840891
"61","1","s1","cohE","angleE","r1",1.22206357309927
"62","1","s1","cohE","angleE","r1",1.38941832769528
"63","1","s1","cohE","angleE","r1",1.86840761822723
"64","1","s1","cohE","angleE","r1",1.48631375952784
"65","1","s1","cohE","angleE","r1",1.29919794627513
"66","1","s1","cohE","angleE","r1",1.451752922161
"67","1","s1","cohE","angleE","r1",1.23605099435604
"68","1","s1","cohE","angleE","r1",1.15375102356516
"69","1","s1","cohE","angleE","r1",1.71820946901946
"70","1","s1","cohE","angleE","r1",1.74951715310222
"71","1","s1","cohE","angleE","r1",1.892528868284
"72","1","s1","cohE","angleE","r1",1.57863683225338
"73","1","s1","cohE","angleE","r1",1.49359862918972
"74","1","s1","cohE","angleE","r1",1.68793596985035
"75","1","s1","cohE","angleE","r1",1.28082409915264
"76","1","s1","cohE","angleE","r1",1.79897098050981
"77","1","s1","cohE","angleE","r2",1.62949559207603
"78","1","s1","cohE","angleE","r1",1.26986832417592
"79","1","s1","cohE","angleE","r1",1.09613826939568
"80","1","s1","cohE","angleE","r1",1.28878500453132
"81","1","s1","cohE","angleE","r1",1.56038729449602
"82","1","s1","cohE","angleE","r1",1.4776123437527
"83","1","s1","cohE","angleE","r1",1.11636983700816
"84","1","s1","cohE","angleE","r1",1.42217964932913
"85","1","s1","cohE","angleE","r1",1.7358567179056
"86","1","s1","cohE","angleE","r1",1.25198378121761
"87","1","s1","cohE","angleE","r1",1.90512431929776
"88","1","s1","cohE","angleE","r1",1.29298758141131
"89","1","s1","cohE","angleE","r1",1.32760304684685
"90","1","s1","cohE","angleE","r1",1.24500310043274
"91","1","s1","cohE","angleE","r1",1.45593882462781
"92","1","s1","cohE","angleE","r1",1.210145821795
"93","1","s1","cohE","angleE","r1",1.39909044181413
"94","1","s1","cohE","angleE","r1",1.18590571174361
"95","1","s1","cohE","angleE","r1",1.26007647523896
"96","1","s1","cohE","angleE","r1",1.27633932180108
"97","1","s1","cohE","angleE","r1",1.44917273150597
"98","1","s1","cohE","angleE","r1",1.42721149395263
"99","1","s1","cohE","angleE","r1",1.42681793812177
"100","1","s1","cohE","angleE","r1",1.22115650181501
"101","1","s1","cohE","angleE","r1",1.52872599806749
"102","1","s1","cohE","angleE","r1",1.21065998449893
"103","1","s1","cohE","angleE","r1",1.1425274072039
"104","1","s1","cohE","angleE","r1",1.46035614390364
"105","1","s1","cohE","angleE","r1",1.77065415753365
"106","1","s1","cohE","angleE","r1",1.06154645553682
"107","1","s1","cohE","angleE","r1",1.28367931574488
"108","1","s1","cohE","angleE","r1",1.50649183137679
"109","1","s1","cohE","angleE","r1",1.33559797693271
"110","1","s1","cohE","angleE","r1",1.42953135977351
"111","1","s1","cohE","angleE","r1",1.70048151890923
"112","1","s1","cohE","angleE","r2",1.267073756702
"113","1","s1","cohE","angleE","r1",1.37538397120617
"114","1","s1","cohE","angleE","r1",2.97050009568405
"115","1","s1","cohE","angleE","r2",1.36580219006207
"116","1","s1","cohE","angleE","r1",1.52188459175374
"117","1","s1","cohE","angleE","r1",1.64102453568852
"118","1","s1","cohE","angleE","r1",1.58285929294903
"119","1","s1","cohE","angleE","r1",1.85678971533473
"120","1","s1","cohE","angleE","r1",1.44521764451568
"121","1","s1","cohE","angleE","r1",1.75829438135154
"122","1","s1","cohE","angleE","r1",1.53179208885895
"123","1","s1","cohE","angleE","r1",1.48592679195179
"124","1","s1","cohE","angleE","r1",1.42780696910848
"125","1","s1","cohE","angleE","r1",1.43073142982945
"126","1","s1","cohE","angleE","r1",1.42952452865705
"127","1","s1","cohE","angleE","r1",1.51645649054751
"128","1","s1","cohE","angleE","r1",1.29767882804481
"129","1","s1","cohE","angleE","r1",1.75513728352772
"130","1","s1","cohE","angleE","r1",1.35865507932827
"131","1","s1","cohE","angleE","r1",1.63649833503139
"132","1","s1","cohE","angleE","r1",1.65882599186928
"133","1","s1","cohE","angleE","r1",1.32746396262995
"134","1","s1","cohE","angleE","r1",1.95425407530093
"135","1","s1","cohE","angleE","r1",1.43334178226207
"136","1","s1","cohE","angleE","r1",1.5233028460376
"137","1","s1","cohE","angleE","r1",1.07520153483535
"138","1","s1","cohE","angleE","r1",1.63554587924898
"139","1","s1","cohE","angleE","r1",1.40816829057806
"140","1","s1","cohE","angleE","r1",1.43773581692443
"141","1","s1","cohE","angleE","r1",1.25959193617138
"142","1","s1","cohE","angleE","r1",1.50402355554599
"143","1","s1","cohE","angleE","r1",1.27023704354949
"144","1","s1","cohE","angleE","r1",1.21194169912331
