"","s","S","Coh","Angle","R","RT"
"1","1","s1","cohE","angleE","r1",1.57910367993357
"2","1","s1","cohE","angleE","r1",1.91114192326629
"3","1","s1","cohE","angleE","r1",1.74186657492036
"4","1","s1","cohE","angleE","r1",2.78560576225668
"5","1","s1","cohE","angleE","r1",1.75791482505363
"6","1","s1","cohE","angleE","r1",2.57089814401858
"7","1","s1","cohE","angleE","r1",1.61401168109827
"8","1","s1","cohE","angleE","r1",1.15463825227496
"9","1","s1","cohE","angleE","r1",2.20806644856329
"10","1","s1","cohE","angleE","r1",2.42153118710306
"11","1","s1","cohE","angleE","r1",2.04549538109693
"12","1","s1","cohE","angleE","r1",1.0444221457826
"13","1","s1","cohE","angleE","r1",1.71966072650712
"14","1","s1","cohE","angleE","r1",2.18596519123932
"15","1","s1","cohE","angleE","r1",1.62276195069152
"16","1","s1","cohE","angleE","r1",1.31938421670855
"17","1","s1","cohE","angleE","r1",1.89469406461776
"18","1","s1","cohE","angleE","r1",1.54792353303007
"19","1","s1","cohE","angleE","r1",1.6544823925961
"20","1","s1","cohE","angleE","r1",1.67535760870179
"21","1","s1","cohE","angleE","r1",1.98432092233674
"22","1","s1","cohE","angleE","r1",1.4062661156724
"23","1","s1","cohE","angleE","r1",1.59479652154986
"24","1","s1","cohE","angleE","r1",1.34755110525797
"25","1","s1","cohE","angleE","r1",2.15041838678014
"26","1","s1","cohE","angleE","r1",2.64488633498957
"27","1","s1","cohE","angleE","r1",1.62177421021703
"28","1","s1","cohE","angleE","r1",1.25650759005229
"29","1","s1","cohE","angleE","r1",2.17783186440047
"30","1","s1","cohE","angleE","r1",1.77377377742532
"31","1","s1","cohE","angleE","r1",1.38874980157985
"32","1","s1","cohE","angleE","r1",1.26349266413517
"33","1","s1","cohE","angleE","r1",1.07350761847207
"34","1","s1","cohE","angleE","r1",1.67445386178676
"35","1","s1","cohE","angleE","r1",1.28950498783058
"36","1","s1","cohE","angleE","r1",1.55673687241426
"37","1","s1","cohE","angleE","r1",2.60726109440221
"38","1","s1","cohE","angleE","r1",1.30246815784049
"39","1","s1","cohE","angleE","r1",1.47043814082602
"40","1","s1","cohE","angleE","r1",1.59396424860632
"41","1","s1","cohE","angleE","r1",1.99889142648717
"42","1","s1","cohE","angleE","r1",2.24253574555037
"43","1","s1","cohE","angleE","r1",1.18355947585257
"44","1","s1","cohE","angleE","r1",1.66281761603949
"45","1","s1","cohE","angleE","r1",1.80588816521312
"46","1","s1","cohE","angleE","r1",1.86670373592942
"47","1","s1","cohE","angleE","r1",2.97367762553678
"48","1","s1","cohE","angleE","r1",2.10075724175769
"49","1","s1","cohE","angleE","r1",1.65830880813387
"50","1","s1","cohE","angleE","r1",1.01900373399557
"51","1","s1","cohE","angleE","r1",1.82091185058305
"52","1","s1","cohE","angleE","r1",1.11943557950912
"53","1","s1","cohE","angleE","r1",1.57923199783257
"54","1","s1","cohE","angleE","r1",2.5661441051462
"55","1","s1","cohE","angleE","r1",1.32999122984705
"56","1","s1","cohE","angleE","r1",1.83009108569126
"57","1","s1","cohE","angleE","r1",1.33074990255655
"58","1","s1","cohE","angleE","r1",1.35700275990688
"59","1","s1","cohE","angleE","r1",1.39128745411285
"60","1","s1","cohE","angleE","r1",1.49109035533528
"61","1","s1","cohE","angleE","r1",1.25695848567928
"62","1","s1","cohE","angleE","r1",1.30748392084081
"63","1","s1","cohE","angleE","r1",2.69641535173483
"64","1","s1","cohE","angleE","r1",1.43891067960417
"65","1","s1","cohE","angleE","r1",1.13100851898501
"66","1","s1","cohE","angleE","r1",1.70502589505982
"67","1","s1","cohE","angleE","r1",1.59378017186245
"68","1","s1","cohE","angleE","r1",1.54964482021698
"69","1","s1","cohE","angleE","r1",1.62914467869237
"70","1","s1","cohE","angleE","r1",1.34679051957042
"71","1","s1","cohE","angleE","r1",1.61865469627231
"72","1","s1","cohE","angleE","r1",2.07667468404581
"73","1","s1","cohE","angleE","r1",1.46120941154099
"74","1","s1","cohE","angleE","r1",1.41609101938399
"75","1","s1","cohE","angleE","r1",1.74935804777809
"76","1","s1","cohE","angleE","r1",2.48421719912463
"77","1","s1","cohE","angleE","r1",1.78768466152215
"78","1","s1","cohE","angleE","r1",1.29253655260454
"79","1","s1","cohE","angleE","r1",1.58245759132746
"80","1","s1","cohE","angleE","r1",1.57070741805237
"81","1","s1","cohE","angleE","r1",1.59464982572745
"82","1","s1","cohE","angleE","r1",1.19713872470366
"83","1","s1","cohE","angleE","r1",1.42105595598208
"84","1","s1","cohE","angleE","r1",1.46293134255093
"85","1","s1","cohE","angleE","r1",3.15594620274331
"86","1","s1","cohE","angleE","r1",1.83629339952396
"87","1","s1","cohE","angleE","r1",3.34453807169168
"88","1","s1","cohE","angleE","r1",2.4425647818617
"89","1","s1","cohE","angleE","r1",1.76714267310873
"90","1","s1","cohE","angleE","r1",2.72408233617389
"91","1","s1","cohE","angleE","r1",1.10797712600259
"92","1","s1","cohE","angleE","r1",1.40684138040101
"93","1","s1","cohE","angleE","r1",1.88662131528964
"94","1","s1","cohE","angleE","r2",1.88453826175215
"95","1","s1","cohE","angleE","r2",1.7389927327587
"96","1","s1","cohE","angleE","r1",1.42064191054517
"97","1","s1","cohE","angleE","r1",1.2312911755437
"98","1","s1","cohE","angleE","r1",1.16515017476953
"99","1","s1","cohE","angleE","r1",2.23861043431636
"100","1","s1","cohE","angleE","r1",1.11760068669067
"101","1","s1","cohE","angleE","r1",1.16052513149081
"102","1","s1","cohE","angleE","r1",1.99307329396174
"103","1","s1","cohE","angleE","r1",1.46710754534821
"104","1","s1","cohE","angleE","r1",1.56262286994092
"105","1","s1","cohE","angleE","r1",2.80183589838646
"106","1","s1","cohE","angleE","r1",1.67457889267677
"107","1","s1","cohE","angleE","r1",1.5147721371259
"108","1","s1","cohE","angleE","r1",1.40439148551153
"109","1","s1","cohE","angleE","r1",1.1870019795593
"110","1","s1","cohE","angleE","r1",2.00267998989325
"111","1","s1","cohE","angleE","r1",2.33999915559298
"112","1","s1","cohE","angleE","r1",1.78891937230619
"113","1","s1","cohE","angleE","r1",1.39647869790281
"114","1","s1","cohE","angleE","r1",1.77224062008246
"115","1","s1","cohE","angleE","r1",3.35275936492863
"116","1","s1","cohE","angleE","r1",1.30852359918997
"117","1","s1","cohE","angleE","r1",2.33853615441078
"118","1","s1","cohE","angleE","r1",1.31444501209635
"119","1","s1","cohE","angleE","r1",1.05977903313323
"120","1","s1","cohE","angleE","r1",1.4282622639801
"121","1","s1","cohE","angleE","r1",2.75395780288809
"122","1","s1","cohE","angleE","r1",1.53262048051618
"123","1","s1","cohE","angleE","r1",2.37033724094416
"124","1","s1","cohE","angleE","r1",1.99499224734695
"125","1","s1","cohE","angleE","r1",1.82888569432523
"126","1","s1","cohE","angleE","r1",1.93293187481093
"127","1","s1","cohE","angleE","r1",2.40818502750847
"128","1","s1","cohE","angleE","r1",1.88036533429364
"129","1","s1","cohE","angleE","r1",2.12580950382646
"130","1","s1","cohE","angleE","r1",0.93301497104504
"131","1","s1","cohE","angleE","r1",1.63750555909819
"132","1","s1","cohE","angleE","r1",1.10460535762888
"133","1","s1","cohE","angleE","r1",1.24534437727496
"134","1","s1","cohE","angleE","r2",2.2720361731078
"135","1","s1","cohE","angleE","r1",1.51962222797048
"136","1","s1","cohE","angleE","r1",1.40097201109935
"137","1","s1","cohE","angleE","r1",1.58126453577748
"138","1","s1","cohE","angleE","r1",1.52709454384501
"139","1","s1","cohE","angleE","r1",1.37849281032883
"140","1","s1","cohE","angleE","r1",1.42438397707851
"141","1","s1","cohE","angleE","r1",1.36228386969397
"142","1","s1","cohE","angleE","r1",1.18948127900384
"143","1","s1","cohE","angleE","r1",2.06941623910749
"144","1","s1","cohE","angleE","r1",1.89876075373687
"145","1","s1","cohE","angleE","r2",1.21467989954552
"146","1","s1","cohE","angleE","r1",1.80635480852018
"147","1","s1","cohE","angleE","r1",2.44648863639765
"148","1","s1","cohE","angleE","r1",1.7502004648589
"149","1","s1","cohE","angleE","r1",1.18442980749963
"150","1","s1","cohE","angleE","r1",1.57958891740847
"151","1","s2","cohE","angleE","r2",1.60028715476781
"152","1","s2","cohE","angleE","r2",1.58537898684365
"153","1","s2","cohE","angleE","r2",1.28011170586118
"154","1","s2","cohE","angleE","r2",1.73382117798369
"155","1","s2","cohE","angleE","r2",2.11642937544891
"156","1","s2","cohE","angleE","r2",1.37865270418601
"157","1","s2","cohE","angleE","r2",1.54363401867913
"158","1","s2","cohE","angleE","r2",1.25852596549394
"159","1","s2","cohE","angleE","r2",1.45955780672721
"160","1","s2","cohE","angleE","r2",1.21618229997481
"161","1","s2","cohE","angleE","r2",1.38890925239432
"162","1","s2","cohE","angleE","r2",1.6524980269903
"163","1","s2","cohE","angleE","r2",3.86160491898259
"164","1","s2","cohE","angleE","r2",1.90223394239656
"165","1","s2","cohE","angleE","r2",2.45213065189978
"166","1","s2","cohE","angleE","r2",2.05548051209833
"167","1","s2","cohE","angleE","r2",1.74862299801898
"168","1","s2","cohE","angleE","r2",1.84995291025759
"169","1","s2","cohE","angleE","r2",1.51450983836761
"170","1","s2","cohE","angleE","r2",1.55754307614444
"171","1","s2","cohE","angleE","r1",2.26155392722568
"172","1","s2","cohE","angleE","r2",1.78212637139267
"173","1","s2","cohE","angleE","r2",1.29299433873945
"174","1","s2","cohE","angleE","r2",2.18674777128501
"175","1","s2","cohE","angleE","r2",1.78502119118256
"176","1","s2","cohE","angleE","r2",1.3185137120075
"177","1","s2","cohE","angleE","r2",1.79355845421405
"178","1","s2","cohE","angleE","r2",2.06931970464195
"179","1","s2","cohE","angleE","r2",1.51458365561704
"180","1","s2","cohE","angleE","r2",1.12045557447548
"181","1","s2","cohE","angleE","r2",1.67046657418445
"182","1","s2","cohE","angleE","r2",1.3479714787471
"183","1","s2","cohE","angleE","r2",1.57219296442499
"184","1","s2","cohE","angleE","r2",1.69268012170022
"185","1","s2","cohE","angleE","r2",1.37702605655826
"186","1","s2","cohE","angleE","r1",2.16069988114557
"187","1","s2","cohE","angleE","r2",1.63990335882055
